Date,Daily PnL,SL,Initial Target,Final Target,File Path,File Name
2023-02-09,-19.700000000000003,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-02-16,43.96468875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-02-23,-76.18489125,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-03-02,-34.7,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-03-09,-46.00462125,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-03-16,-34.7,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-03-23,10.3,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-03-29,2.9000000000000004,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-04-06,-8.35,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-04-13,73.78495875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-04-20,36.50962125,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-04-27,73.78495875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-05-04,6.6000000000000005,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-05-11,-106.36516125,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-05-18,-8.35,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-05-25,21.549999999999997,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-06-01,-0.8499999999999996,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-06-08,133.42549875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-06-15,10.3,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-06-22,55.14729,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2023-06-28,-34.7,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
