DateTime,CE pnl,PE pnl,PnL Combined
2024-08-09 14:48:00,2786.0,2457.0,5243.0
2024-08-09 14:49:00,2815.0,2448.0,5263.0
2024-08-09 14:50:00,2774.0,2470.0,5244.0
2024-08-09 14:51:00,2727.0,2486.0,5213.0
2024-08-09 14:52:00,2869.0,2457.0,5326.0
2024-08-09 14:53:00,2921.0,2439.0,5360.0
2024-08-09 14:54:00,2884.0,2474.0,5358.0
2024-08-09 14:55:00,2889.0,2466.0,5355.0
2024-08-09 14:56:00,2914.0,2448.0,5362.0
2024-08-09 14:57:00,2869.0,2501.0,5370.0
2024-08-09 14:58:00,2937.0,2468.0,5405.0
2024-08-09 14:59:00,2959.0,2459.0,5418.0
2024-08-09 15:00:00,2830.0,2526.0,5356.0
2024-08-09 15:01:00,2990.0,2506.0,5496.0
2024-08-09 15:02:00,3015.0,2545.0,5560.0
2024-08-09 15:03:00,3012.0,2573.0,5585.0
2024-08-09 15:04:00,3061.0,2581.0,5642.0
2024-08-09 15:05:00,3074.0,2590.0,5664.0
2024-08-09 15:06:00,3087.0,2583.0,5670.0
2024-08-09 15:07:00,3092.0,2590.0,5682.0
2024-08-09 15:08:00,3084.0,2597.0,5681.0
2024-08-09 15:09:00,3095.0,2596.0,5691.0
2024-08-09 15:10:00,3094.0,2597.0,5691.0
2024-08-09 15:11:00,3090.0,2598.0,5688.0
2024-08-09 15:12:00,3096.0,2597.0,5693.0
2024-08-09 15:13:00,3103.0,2596.0,5699.0
2024-08-09 15:14:00,3106.0,2596.0,5702.0
2024-08-09 15:15:00,3107.0,2599.0,5706.0
2024-08-09 15:16:00,3105.0,2598.0,5703.0
2024-08-09 15:17:00,3106.0,2599.0,5705.0
2024-08-09 15:18:00,3110.0,2599.0,5709.0
2024-08-09 15:19:00,3109.0,2599.0,5708.0
2024-08-09 15:20:00,3108.0,2600.0,5708.0
2024-08-09 15:21:00,3108.0,2600.0,5708.0
2024-08-09 15:22:00,3108.0,2600.0,5708.0
2024-08-09 15:23:00,3108.0,2600.0,5708.0
2024-08-09 15:24:00,3108.0,2600.0,5708.0
2024-08-09 15:25:00,3108.0,2600.0,5708.0
2024-08-09 15:26:00,3108.0,2600.0,5708.0
2024-08-09 15:27:00,3108.0,2600.0,5708.0
2024-08-09 15:28:00,3108.0,2600.0,5708.0
