Date,"NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_11,45_pnl_threshold_2846.84.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_13,00_pnl_threshold_3396.91.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_13,00_pnl_threshold_2430.59.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,4_time_09,30_pnl_threshold_8944.74.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_10,15_pnl_threshold_5376.32.csv"
2023-11-30,-1416.48,-1833.97875,-1833.97875,-2465.86875,-487.45125
2023-12-07,2024.1525,1534.37625,1534.37625,4570.24125,1710.0975
2023-12-14,1609.15125,386.58,386.58,2850.41625,2786.8575
2023-12-21,584.73375,513.6975,513.6975,1605.4125,1822.26
2023-12-28,2214.82875,3134.56125,1740.0075,6959.3025,3901.005
2024-01-04,876.35625,1687.665,1687.665,2951.3625,3134.56125
2024-01-11,-630.37875,-1544.3625,-1544.3625,2857.89375,2177.44125
2024-01-18,566.04,1541.85375,1541.85375,-1849.02375,4562.76375
2024-01-25,2913.975,162.255,-822.2025,5168.44125,5437.63125
2024-02-01,3328.97625,3448.61625,2424.19875,8952.05625,5370.33375
2024-02-08,-626.6175,222.075,222.075,-2883.3675,-5918.69625
2024-02-15,2252.21625,1425.9525,1425.9525,2925.19125,3291.58875
2024-02-22,-1837.74,-3707.08125,-3707.08125,-3048.8625,-536.3475
2024-02-29,2854.155,3429.9225,2573.74875,1100.68125,5377.81125
2024-03-07,1814.7825,1642.8,1642.8,2854.155,1201.6275
2024-03-14,2891.5425,1743.74625,2442.8925,2147.53125,-1356.3
2024-03-21,2293.3425,2951.3625,1268.925,1897.035,966.08625
2024-03-28,-11598.18375,-4545.84,-4545.84,-19406.53875,-6358.7625
2024-04-04,-585.24375,2255.955,1268.925,1818.52125,1280.14125
2024-04-10,1781.13375,319.2825,943.65375,6850.87875,2865.37125
2024-04-18,-1345.01625,-6388.8525,-6388.8525,-15299.25375,-8570.3775
2024-04-25,2697.1275,3452.355,2659.74,-4624.82625,-4402.9125
2024-05-02,2607.3975,3856.14,2469.06375,6574.21125,5385.28875
2024-05-09,625.86,3441.13875,2528.88375,1347.43875,476.31
2024-05-16,-14956.98,3407.49,2457.8475,-11805.0525,-6061.62375
2024-05-23,472.57125,3512.175,2622.3525,-2040.8475,143.56125
2024-06-13,2181.18,1343.7,1343.7,7505.16,3672.94125
2024-06-20,-724.41,-1171.99875,-1171.99875,8963.2725,2386.81125
2024-06-27,2854.155,3388.79625,2495.235,1399.78125,-62.43
